Unnamed: 9,2016,2016.2,2016.1,2017,2017.2,2017.1,2018,2018.2,2018.1
district,cp,pp,np,cp,pp,np,cp,pp,np
Agra,11324,2159,4058,18185,22542,18628,66867,101849,87909
Aligarh,3556,2317,6280,46179,63415,34474,47460,75084,218763
Ambedkar Nagar,527,148,580,3224,4858,2936,4497,10158,4435
Amethi,864,254,316,1172,1378,1241,3095,6412,4550
Auraiya,905,1078,2801,16902,26789,11112,12082,23009,13737
Ayodhya,2273,806,2444,11179,15347,10543,16418,20451,20782
Azamgarh,2103,894,1913,7146,18703,7294,7349,10952,7164
Badaun,3873,584,4474,11572,28655,10843,15021,34583,15277
Baghpat,766,212,320,3110,3653,2951,15769,19549,20362
Bahraich,2733,769,1899,16627,18225,15466,13749,24580,17674
Ballia,1483,940,1560,12933,13597,12569,9872,9999,7263
Balrampur,942,400,526,1739,2043,1849,1589,1953,1533
Banda,703,46,824,5384,8504,5031,2692,4414,4508
Barabanki,1689,2519,3585,23363,25058,20285,23569,38172,31537
Bareilly,7637,1690,9177,50910,63454,46534,83342,205811,143579
Basti,1296,159,1059,3074,5643,2930,5439,7460,6782
Bhadohi,529,140,444,2892,4536,2571,3212,5812,3090
Bijnor,3684,215,4313,24873,30021,18039,9139,25889,23633
Bulandshahar,3638,2347,4874,22989,43265,19827,79833,189565,79954
Chandauli,1254,339,574,1854,2485,2037,4547,5890,5835
Chitrakoot,308,61,129,1655,2116,1556,2106,4287,3051
Deoria,2753,1083,1397,6547,6947,6225,6546,8469,6845
Etah,2858,1908,3972,33239,36163,29290,30939,27592,23060
Etawah,1562,19,90,5972,3788,3555,10942,22082,21347
Fatehgarh,1493,547,917,4918,4803,3619,17755,23998,24534
Fatehpur,3390,257,2480,14238,17027,10114,7762,10632,7544
Firozabad,5384,3221,4098,12380,12790,11681,32635,33797,32952
Gautam Budh Nagar,6119,828,7008,24048,45436,22881,27281,49452,29559
Ghaziabad,9316,8601,11550,36576,37234,32825,71001,69885,61821
Ghazipur,1062,432,1362,5971,7880,5535,2790,3652,2440
Gonda,2949,907,2872,10980,16661,11049,9782,11870,9650
Gorakhpur,6321,1265,3914,17123,28949,16605,30002,39828,40377
Hamirpur,570,462,731,5072,9502,4880,3015,3745,3017
Hapur,1740,1269,1083,3055,3163,2808,4088,5493,9684
Hardoi,5771,5960,6903,23502,23218,20005,17369,20473,27427
Hathras,1329,814,1419,7233,8425,6715,10865,11025,13794
Jalaun,1052,5,834,9205,12540,7694,8795,15508,12193
Jaunpur,1377,2160,2116,12030,14000,7556,7613,7611,25246
Jhansi,2169,745,1487,17413,21338,17706,16743,17250,20184
Jyotibaphulleynagar,1288,299,579,8763,7865,6837,6127,7743,10350
Kannauj,1104,1,450,3715,5139,3336,3548,5484,3405
Kanpur City,6294,4095,3707,42298,121753,40783,35902,96436,65836
Kanpur Dehat,1885,1763,2757,15979,19211,14061,26531,47009,35097
Kasganj,1039,530,964,6001,6538,5485,4646,4513,5747
Kaushambi,701,146,790,3501,6885,3291,6044,7429,6353
Kheri,2807,3936,3950,22978,21076,20502,15426,15593,15707
Kushi Nagar,4011,2620,3732,11238,11603,9937,11816,9428,9688
Lalitpur,1301,132,1154,15969,18027,14244,7795,20312,10307
Lucknow,14515,8329,13306,32269,50009,33073,38890,37464,37666
Mahoba,196,267,332,3212,3661,2850,2013,4555,2745
Mahrajganj,1792,936,1643,5703,6804,5696,5071,5558,5050
Mainpuri,4275,1233,3600,17430,20737,15970,13537,23276,18671
Mathura,4662,1362,4600,27918,42562,26289,74271,103752,101058
Mau,896,195,1117,5319,9825,5041,4082,4021,4100
Meerut,5691,5694,7922,46853,81794,40553,74729,199818,88961
Mirzapur,1537,743,3189,22297,31603,18979,15282,28658,8737
Moradabad,8269,638,3660,17175,21901,14550,15537,23935,20856
Muzaffar Nagar,5692,701,1054,13518,10436,9788,12418,26839,30428
Pilibhit,1450,897,1638,6789,8214,6404,6623,7414,7499
Pratapgarh,2093,80,663,7684,9921,7382,15815,34308,22240
Prayagraj,9144,10348,9447,42501,39949,38794,132948,105938,86584
Rae Bareli,1567,948,1867,9021,10072,8241,23312,29808,23858
Rampur,3117,712,4164,25407,31904,22698,9918,14353,11648
Saharanpur,4570,1747,4494,19199,30391,18275,43484,52776,38445
Sambhal,2458,951,2258,6644,9345,6036,2155,4577,1747
Sant Kabeer Nagar,665,83,813,5354,9093,4938,2053,3643,4372
Shahjahanpur,4017,8825,7996,40399,31266,29826,18609,20022,22015
Shamli,1402,564,777,4862,4831,4356,6517,6950,6901
Shravasti,537,182,446,1818,4019,1821,1944,6964,3411
Siddharth Nagar,711,80,666,3819,5084,3330,2940,4726,3240
Sitapur,3109,1535,3857,26452,30334,22347,7460,16805,19159
Sonbhadra,449,327,727,5871,6120,4209,6089,6096,4579
Sultanpur,2371,700,2575,2967,9177,2431,5357,12517,3384
Unnao,2307,2557,2718,11026,13099,9656,10328,14574,16800
Varanasi,2401,4343,6472,50746,24187,20103,19935,17860,22465
