district,Male_15_24yr_2011,Total_Population_2011,sex_ratio_2011,total_non_worker,gdp_2011_12
Agra,588704.0,4558268.0,844.0,3028953.0,13058.94
Aligarh,446134.0,3506403.0,859.0,2499528.0,9089.34
Prayagraj,720479.0,5912586.0,875.0,3842484.0,12755.14
Ambedkar Nagar,243522.0,2406482.0,984.0,1610490.0,3272.78
Auraiya,155999.0,1288008.0,851.0,937522.0,3126.83
Azamgarh,469626.0,4790354.0,1031.0,3241881.0,5379.55
Baghpat,156158.0,1247389.0,846.0,886353.0,4253.67
Bahraich,321734.0,3005860.0,862.0,2335571.0,3630.16
Ballia,346070.0,3224020.0,959.0,2220291.0,4602.92
Balrampur,198835.0,1965716.0,896.0,1388412.0,3132.64
Banda,190833.0,1742857.0,853.0,1097721.0,3169.17
Barabanki,356385.0,3220419.0,881.0,2067849.0,4918.11
Bareilly,526699.0,4448154.0,867.0,3046388.0,11135.14
Basti,250681.0,2446057.0,942.0,1680776.0,3181.55
Bijnor,458302.0,3813533.0,893.0,2594677.0,9192.19
Badaun,418446.0,3710639.0,838.0,2574553.0,7076.29
Bulandshahar,448539.0,3513748.0,879.0,2325911.0,10288.18
Chandauli,216361.0,2037474.0,920.0,1300213.0,3539.14
Chitrakoot,106779.0,1046517.0,866.0,597533.0,2935.48
Deoria,338592.0,3256162.0,1012.0,2224700.0,3883.06
Etah,391977.0,3328782.0,845.0,1228496.0,3595.6
Etawah,191387.0,1561972.0,854.0,1075738.0,3027.12
Ayodhya,267319.0,2483909.0,941.0,1639787.0,4373.02
Fatehgarh,227095.0,1829759.0,842.0,1292937.0,3364.4
Fatehpur,304935.0,2681923.0,888.0,1568804.0,4597.96
Firozabad,334549.0,2718476.0,846.0,1736635.0,4861.69
Gautam Budh Nagar,192903.0,1544010.0,834.0,1079006.0,17223.71
Ghaziabad,589274.0,4645670.0,856.0,3161107.0,15310.88
Ghazipur,375323.0,3683500.0,981.0,2415666.0,4917.59
Gonda,356781.0,3298276.0,906.0,2263367.0,4732.39
Gorakhpur,487339.0,4419018.0,964.0,3089266.0,7702.55
Hamirpur,131500.0,1153708.0,845.0,660630.0,2358.66
Hardoi,466453.0,4017806.0,835.0,2773899.0,6164.59
Hathras,186615.0,1504828.0,851.0,1080593.0,4197.41
Jalaun,193223.0,1621418.0,842.0,1069210.0,3672.49
Jaunpur,465737.0,4567012.0,1025.0,3056829.0,5461.07
Jhansi,240162.0,2050222.0,867.0,1183689.0,6690.54
Jyotibaphulleynagar,220203.0,1875526.0,883.0,1241132.0,5597.33
Kannauj,190959.0,1552125.0,862.0,1131940.0,2987.53
Kanpur Dehat,224521.0,1836356.0,845.0,1167320.0,3407.64
Kanpur City,661490.0,5091066.0,849.0,3009036.0,16776.56
Kaushambi,170296.0,1581184.0,892.0,960510.0,3012.44
Kheri,455765.0,4185108.0,887.0,2756525.0,7532.84
Kushi Nagar,352326.0,3547117.0,967.0,2447571.0,4215.04
Lalitpur,129746.0,1218075.0,878.0,718241.0,2462.83
Lucknow,601689.0,4603138.0,885.0,3047032.0,17885.49
Mahrajganj,263646.0,2732195.0,932.0,1690450.0,3164.64
Mahoba,90999.0,818646.0,861.0,526282.0,2394.3
Mainpuri,219293.0,1838892.0,854.0,1307689.0,3400.52
Mathura,311509.0,2570289.0,835.0,1706245.0,7264.5
Mau,232310.0,2271780.0,993.0,1509221.0,3623.52
Meerut,463815.0,3561107.0,872.0,2353150.0,11918.76
Mirzapur,282948.0,2555657.0,894.0,1614974.0,3954.2
Moradabad,559322.0,4532090.0,873.0,3354195.0,10396.03
Muzaffar Nagar,504677.0,4206521.0,871.0,2851868.0,10982.67
Pilibhit,238642.0,2029111.0,871.0,1412402.0,4424.77
Pratapgarh,327270.0,3241309.0,1015.0,2142540.0,3774.04
Rae Bareli,368675.0,3409507.0,955.0,2200849.0,3595.04
Rampur,277771.0,2367675.0,876.0,1598558.0,4512.6
Saharanpur,422470.0,3380201.0,864.0,2429038.0,8893.05
Sant Kabeer Nagar,163208.0,1665097.0,982.0,1175714.0,2102.46
Bhadohi,181288.0,1554919.0,921.0,1107605.0,3230.77
Shahjahanpur,363060.0,3138569.0,835.0,2114324.0,6095.47
Shravasti,151910.0,1456677.0,907.0,713606.0,1380.81
Siddharth Nagar,230720.0,2512597.0,953.0,1680399.0,2915.2
Sitapur,497486.0,4400680.0,858.0,3061390.0,7181.39
Sonbhadra,196050.0,1895002.0,892.0,1132160.0,5666.16
Sultanpur,386892.0,3813601.0,987.0,2554485.0,4157.88
Unnao,367820.0,3181506.0,896.0,1983623.0,6245.4
Varanasi,453421.0,3706228.0,901.0,2456133.0,7450.18
Amethi,327480.67142857146,2865435.5142857144,894.6571428571428,1887290.5070422536,3026.51
Kasganj,327480.67142857146,2865435.5142857144,894.6571428571428,963954.0,3286.17
Hapur,327480.67142857146,2865435.5142857144,894.6571428571428,1887290.5070422536,5872.037361111111
Shamli,327480.67142857146,2865435.5142857144,894.6571428571428,1887290.5070422536,5872.037361111111
Sambhal,327480.67142857146,2865435.5142857144,894.6571428571428,1887290.5070422536,5872.037361111111
