district,class
Agra,2
Bareilly,2
Etah,6
Shahjahanpur,0
Pilibhit,10
Allahabad,7
Pratapgarh,0
Jhansi,10
Jalaun,1
Jaunpur,2
Mirzapur,3
Sonbhadra,10
Azamgarh,2
Gorakhpur,2
Kushinagar,8
Basti,3
Sitapur,2
Unnao,0
Sultanpur,8
Balrampur,10
Amethi,9
Barabanki,0
Bahraich,0
Chitrakoot,4
Hamirpur,4
Mahoba,4
Banda,1
Baghpat,4
Kanpur Nagar,2
Sant Kabir Nagar,1
Ghaziabad,2
Kaushambi,1
Muzaffarnagar,5
Bulandshahr,8
Gautam Buddha Nagar,1
Meerut,8
Saharanpur,8
Aligarh,8
Mathura,3
Firozabad,9
Mainpuri,10
Mahamaya Nagar,1
Budaun,8
Moradabad,2
Rampur,3
Amroha,10
Bijnor,8
Kanpur Dehat,10
Etawah,1
Farrukhabad,10
Kannauj,1
Auraiya,4
Lalitpur,4
Varanasi,8
Ghazipur,8
Chandauli,10
Sant Ravi Das Nagar(bhadohi),1
Mau,3
Ballia,0
Maharajganj,9
Deoria,0
Rae Bareli,0
Hardoi,5
Siddharth Nagar,3
Lucknow,2
Faizabad,3
Kasganj,6
Ambedkar Nagar,3
Hapur,9
Shamli,9
Sambhal,9
Fatehpur,3
Gonda,0
Lakhimpur Kheri,5
Shrawasti,4
