district,Male_15_24yr_2011,Male_15_24yr_2016
Agra,588704,589529
Aligarh,446134,438119
Allahabad,720479,722602
Ambedkar Nagar,243522,242489
Auraiya,155999,149071
Azamgarh,469626,474235
Baghpat,156158,143881
Bahraich,321734,333536
Ballia,346070,341565
Balrampur,198835,197220
Banda,190833,187400
Barabanki,356385,360532
Bareilly,526699,536547
Basti,250681,248885
Bijnor,458302,464104
Budaun,418446,423633
Bulandshahr,448539,438576
Chandauli,216361,220083
Chitrakoot,106779,115029
Deoria,338592,339778
Etah,391977,392858
Etawah,191387,186767
Faizabad,267319,266750
Farrukhabad,227095,225810
Fatehpur,304935,302926
Firozabad,334549,353779
Gautam Buddha Nagar,192903,198843
Ghaziabad,589274,614746
Ghazipur,375323,379400
Gonda,356781,357878
Gorakhpur,487339,482664
Hamirpur,131500,126858
Hardoi,466453,468269
Hathras,186615,182253
Jalaun,193223,187981
Jaunpur,465737,461874
Jhansi,240162,229368
Jyotiba Phule Nagar,220203,226506
Kannauj,190959,185489
Kanpur Dehat,224521,221265
Kanpur Nagar,661490,587548
Kaushambi,170296,173205
Kheri,455765,478939
Kushinagar,352326,357045
Lalitpur,129746,133678
Lucknow,601689,618326
Maharajganj,263646,270415
Mahoba,90999,89494
Mainpuri,219293,215277
Mathura,311509,318476
Mau,232310,235101
Meerut,463815,464325
Mirzapur,282948,285102
Moradabad,559322,561359
Muzaffarnagar,504677,504598
Pilibhit,238642,243387
Pratapgarh,327270,325248
Rae Bareli,368675,367261
Rampur,277771,283618
Saharanpur,422470,418846
Sant Kabir Nagar,163208,161686
Sant Ravidas Nagar Bhadohi,181288,178138
Shahjahanpur,363060,369841
Shrawasti,151910,154829
Siddharthnagar,230720,234286
Sitapur,497486,502459
Sonbhadra,196050,204139
Sultanpur,386892,384750
Unnao,367820,365237
Varanasi,453421,451643
