district,total_non_worker,male_non_worker,female_non_worker
Saharanpur,2429038,922970,1506068
Muzaffarnagar,2851868,1111865,1740003
Bijnor,2594677,999718,1594959
Moradabad,3354195,1309747,2044448
Rampur,1598558,614196,984362
Jyotiba  Phule Nagar,1241132,504412,736720
Meerut,2353150,926933,1426217
Baghpat,886353,357466,528887
Ghaziabad,3161107,1257219,1903888
Gautam  Buddha Nagar,1079006,446830,632176
Bulandshahar,2325911,947445,1378466
Aligarh,2499528,1022659,1476869
Mahamaya  Nagar,1080593,438001,642592
Mathura,1706245,731983,974262
Agra,3028953,1245252,1783701
Firozabad,1736635,710206,1026429
Mainpuri,1307689,527310,780379
Budaun,2574553,1028143,1546410
Bareilly,3046388,1204659,1841729
Pilibhit,1412402,537063,875339
Shahjahanpur,2114324,823090,1291234
Kheri,2756525,1064704,1691821
Sitapur,3061390,1204012,1857378
Hardoi,2773899,1099490,1674409
Unnao,1983623,779073,1204550
Lucknow,3047032,1168077,1878955
Rae  Bareli,2200849,885149,1315700
Farrukhabad,1292937,511695,781242
Kannauj,1131940,450842,681098
Etawah,1075738,432143,643595
Auraiya,937522,375497,562025
Kanpur  Dehat,1167320,469264,698056
Kanpur  Nagar,3009036,1159935,1849101
Jalaun,1069210,435123,634087
Jhansi,1183689,492079,691610
Lalitpur,718241,314228,404013
Hamirpur,660630,285010,375620
Mahoba,526282,229205,297077
Banda,1097721,480562,617159
Chitrakoot,597533,272744,324789
Fatehpur,1568804,670986,897818
Pratapgarh,2142540,901516,1241024
Kaushambi,960510,435841,524669
Allahabad,3842484,1705697,2136787
Barabanki,2067849,835832,1232017
Faizabad,1639787,661740,978047
Ambedkar  Nagar,1610490,665004,945486
Sultanpur,2554485,1044748,1509737
Bahraich,2335571,948308,1387263
Shravasti,713606,299916,413690
Balrampur,1388412,580389,808023
Gonda,2263367,931298,1332069
Siddharthnagar,1680399,711462,968937
Basti,1680776,696630,984146
Sant  Kabir Nagar,1175714,486174,689540
Maharajganj,1690450,722289,968161
Gorakhpur,3089266,1260901,1828365
Kushinagar,2447571,1013198,1434373
Deoria,2224700,898363,1326337
Azamgarh,3241881,1343114,1898767
Mau,1509221,639296,869925
Ballia,2220291,949842,1270449
Jaunpur,3056829,1286308,1770521
Ghazipur,2415666,1046375,1369291
Chandauli,1300213,554934,745279
Varanasi,2456133,1000623,1455510
Sant  Ravidas Nagar,1107605,463944,643661
Mirzapur,1614974,699241,915733
Sonbhadra,1132160,507733,624427
Etah,1228496,507095,721401
Kanshiram  Nagar,963954,388952,575002
Uttar  Pradesh,133997626,54633748,79363878
